x,y,name
1999.778234,1265525538,GeForce256 SDR
2000.492813,2877677530,GeForce2 MX
2000.621492,1035863806,GeForce2 Ultra
2000.930869,1178334436,GeForce2 Pro
2001.138946,2848073408,Radeon VE / 7000
2001.160849,4283784670,GeForce3
2001.1718,3106989172,GeForce2 MX 400
2001.1718,3576175921,GeForce2 MX 200
2001.620808,7366445506,Radeon 8500
2001.620808,3021117612,Radeon 7500
2001.664613,7251474434,AIW Radeon 8500 DV
2001.752225,7273381529,GeForce3 Ti 500
2001.752225,12553070347,GeForce3Ti 200
2001.752225,3362429557,GeForce2 Ti
2002.097194,13635779467,Radeon 8500 LE / 9100
2002.102669,8160962749,GeForce4 Ti 4600
2002.102669,9982849918,GeForce4 Ti 4400
2002.102669,15159330246,GeForce4 Ti 4200 64MB
2002.102669,13635779467,GeForce4 Ti 4200 128MB
2002.102669,3410849305,GeForce4 MX 460
2002.102669,4207007929,GeForce4 MX 440
2002.102669,5139242640,GeForce4 MX 420
2002.499658,53046257867,Radeon 9700 Pro
2002.499658,59897099506,Radeon 9700
2002.499658,49789359889,Radeon 9000
2002.546201,46277087215,Radeon 9000 Pro
2002.75154,89996144483,Radeon 9500 Pro
2003.164956,51213984832,Radeon 9500
2003.164956,63531284632,Radeon 9800 Pro
2003.178645,27849330250,GeForce FX 5800 Ultra
2003.178645,29730790019,GeForce FX 5800
2003.178645,36295094474,GeForce FX 5600
2003.178645,48474656378,GeForce FX 5200 Ultra
2003.208761,44670885506,GeForce FX 5600 Ultra (rev.2)
2003.249829,53551242263,Radeon 9600 Pro AIW
2003.331964,41017016935,Radeon 9200 Pro
2003.362081,45255161656,GeForce FX 5900
2003.362081,43514578515,GeForce FX 5900 XT
2003.750856,67006328259,Radeon 9600 Pro
2003.750856,55114047805,Radeon 9800 XT
2003.750856,63531284632,Radeon 9800 Pro 256MB
2003.750856,83757910324,Radeon 9600 XT
2003.750856,83985160468,Radeon 9600 SE
2003.756331,41753066519,GeForce FX 5950 Ultra/ PCX 595
2003.756331,47462815850,GeForce FX 5700
2003.811088,40361297635,GeForce FX 5900 Ultra
2003.811088,53046676538,GeForce FX 5700 Ultra
