Year Count,Parameters,,,,,,
1952.002738,4.00E+01,,,,,,
1952.021903,4.00E+01,,,,,,
1954.004107,2.25E+02,,,,,,
1957.004791,4.00E+02,,,,,,
1959.003422,1.60E+01,,,,,,
1959.003422,2.63E+03,,,,,,
1959.088296,3.00E+03,,,,,,
1960.002738,1.70E+01,,,,,,
1967.835729,4.00E+01,,,,,,
1975.66872,2.10E+01,,,,,,
1981.566051,1.14E+06,,,,,,
1982.250513,4.10E+03,,,,,,
1983.66872,9.90E+03,,,,,,
1987.003422,2.12E+05,,,,,,
1989.004791,1.10E+02,,,,,,
1989.919233,9.76E+03,,,,,,
1991.003422,4.29E+05,,,,,,
1992.670773,2.50E+04,,,,,,
1994.004107,2.45E+06,,,,,,
1995.003422,1.00E+08,,,,,,
1996.002738,6.45E+03,,,,,,
1997.004791,1.05E+04,,,,,,
1998.836413,7.51E+03,,,,,,
1905.472964,6.00E+04,,,,,,
2002.499658,1.20E+08,,,,,,
2003.331964,1.19E+07,,,,,,
2003.597536,9.18E+06,,,,,,
1905.489391,1.00E+05,,,,,,
2005.004791,1.20E+08,,,,,,
2005.483915,1.78E+02,,,,,,
2006.004107,1.00E+02,,,,,,
2006.483231,3.71E+04,,,,,,
2006.546201,1.15E+05,,,,,,
2006.546201,3.80E+06,,,,,,
2006.918549,1.60E+06,,,,,,
2007.416838,4.90E+05,,,,,,
2008.887064,3.00E+06,,,,,,
2009.670089,2.60E+06,,,,,,
2009.585216,1.00E+08,,,,,,
2009.585216,1.33E+05,,,,,,
2010.16564,1.21E+07,,,,,,
2010.365503,7.08E+06,,,,,,
2010.455852,1.62E+07,,,,,,
2010.737851,5.27E+06,,,,,,
2010.737851,8.00E+07,,,,,,
2011.003422,1.53E+04,,,,,,
2011.003422,5.00E+06,,,,,,
2011.003422,1.31E+04,,,,,,
2012.002738,3.51E+06,,,,,,
2012.120465,1.99E+06,,,,,,
2012.424367,5.59E+06,,,,,,
2012.424367,4.88E+07,,,,,,
2012.750171,6.00E+07,,,,,,
2013.004791,8.36E+05,,,,,,
2013.223819,4.30E+07,,,,,,
2013.727584,3.72E+04,,,,,,
2013.793292,6.92E+09,,,,,,
2013.793292,2.08E+08,,,,,,
2013.864476,6.90E+07,,,,,,
2013.938398,2.99E+07,,,,,,
2014.004107,1.26E+08,,,,,,
2014.004107,1.20E+08,,,,,,
2014.004107,1.20E+08,,,,,,
2014.116359,1.02E+06,,,,,,
2014.677618,1.38E+08,,,,,,
2014.677618,1.44E+08,,,,,,
2014.694045,3.84E+08,,,,,,
2014.852841,1.43E+08,,,,,,
2015.101985,8.70E+07,,,,,,
2015.154004,1.62E+06,,,,,,
2015.162218,2.05E+05,,,,,,
2015.433265,6.80E+06,,,,,,
2015.436003,6.45E+07,,,,,,
2015.750856,8.21E+06,,,,,,
2015.920602,2.36E+07,,,,,,
2015.937029,3.80E+07,,,,,,
2015.942505,6.00E+07,,,,,,
2015.942505,1.70E+06,,,,,,
2016.147844,4.30E+07,,,,,,
2016.147844,5.60E+07,,,,,,
2016.651608,3.40E+07,,,,,,
2016.73922,2.78E+08,,,,,,
2016.769336,2.29E+07,,,,,,
2016.848734,3.74E+07,,,,,,
2016.87885,2.50E+07,,,,,,
2016.881588,9.20E+07,,,,,,
2016.985626,5.10E+07,,,,,,
2017.01848,2.50E+06,,,,,,
2017.065024,8.70E+09,,,,,,
2017.295003,4.20E+06,,,,,,
2017.448323,2.13E+08,,,,,,
2017.505818,2.43E+06,,,,,,
2017.555099,8.90E+07,,,,,,
2017.601643,3.40E+07,,,,,,
2017.601643,5.30E+07,,,,,,
2017.68104,2.81E+07,,,,,,
2017.801506,4.64E+07,,,,,,
2017.820671,8.20E+06,,,,,,
2017.820671,1.14E+07,,,,,,
2017.921971,8.60E+07,,,,,,
2018.08898,9.40E+07,,,,,,
2018.099932,1.60E+06,,,,,,
2018.099932,8.70E+07,,,,,,
2018.220397,8.60E+07,,,,,,
2018.269678,1.06E+08,,,,,,
2018.335387,8.29E+08,,,,,,
2018.417522,1.17E+08,,,,,,
2018.464066,3.40E+06,,,,,,
2018.49692,2.28E+06,,,,,,
2018.505133,1.22E+08,,,,,,
2018.743326,1.13E+08,,,,,,
2018.778919,3.40E+08,,,,,,
2018.778919,2.20E+07,,,,,,
2018.877481,5.57E+08,,,,,,
2018.877481,6.00E+09,,,,,,
2019.003422,4.65E+08,,,,,,
2019.011636,3.65E+07,,,,,,
2019.085558,3.30E+08,,,,,,
2019.088296,7.64E+05,,,,,,
2019.123888,1.50E+09,,,,,,
2019.334702,2.60E+07,,,,,,
2019.334702,1.93E+08,,,,,,
2019.389459,3.03E+08,,,,,,
2019.405886,4.80E+08,,,,,,
2019.408624,4.90E+06,,,,,,
2019.408624,5.20E+06,,,,,,
2019.408624,1.50E+09,,,,,,
2019.4141,1.00E+11,,,,,,
2019.4141,1.26E+08,,,,,,
2019.416838,6.65E+08,,,,,,
2019.416838,3.40E+08,,,,,,
2019.422313,6.26E+08,,,,,,
2019.45243,8.29E+08,,,,,,
2019.498973,3.55E+08,,,,,,
2019.507187,8.60E+07,,,,,,
2019.682409,3.80E+07,,,,,,
2019.712526,1.60E+06,,,,,,
2019.712526,8.30E+09,,,,,,
2019.712526,3.90E+09,,,,,,
2019.753593,5.79E+08,,,,,,
2019.753593,6.60E+07,,,,,,
2019.789185,2.78E+07,,,,,,
2019.811088,3.00E+09,,,,,,
2019.811088,1.10E+10,,,,,,
2019.827515,4.06E+08,,,,,,
2019.830253,1.39E+08,,,,,,
2019.863107,4.80E+08,,,,,,
2019.868583,3.75E+08,,,,,,
