date,top_sum,top_1,model,top_500
1993-06-01,1.13E+12,59700000000,CM-5/1024,420000000
1993-11-01,1.49E+12,1.24E+11,Numerical Wind Tunnel,470000000
1994-06-01,2.32E+12,1.43E+11,XP/S140,840000000
1994-11-01,2.73E+12,1.70E+11,Numerical Wind Tunnel,1160000000
1995-06-01,3.93E+12,1.70E+11,Numerical Wind Tunnel,1960000000
1995-11-01,4.78E+12,1.70E+11,Numerical Wind Tunnel,2490000000
1996-06-01,5.89E+12,2.20E+11,SR2201/1024,3310000000
1996-11-01,7.98E+12,3.68E+11,CP-PACS/2048,4620000000
1997-06-01,1.28E+13,1.07E+12,CP-PACS/2048,7670000000
1997-11-01,1.69E+13,1.34E+12,CP-PACS/2048,9510000000
1998-06-01,2.26E+13,1.34E+12,CP-PACS/2048,13390000000
1998-11-01,2.94E+13,1.34E+12,CP-PACS/2048,17120000000
1999-06-01,3.91E+13,2.12E+12,CP-PACS/2048,24700000000
1999-11-01,5.09E+13,2.38E+12,ASCI Red,33090000000
2000-06-01,6.42E+13,2.38E+12,ASCI Red,43820000000
2000-11-01,8.81E+13,4.94E+12,ASCI White,55300000000
2001-06-01,1.08E+14,7.23E+12,ASCI White,67780000000
2001-11-01,1.35E+14,7.23E+12,ASCI White,94300000000
2002-06-01,2.22E+14,3.59E+13,Earth-Simulator,1.34E+11
2002-11-01,2.92E+14,3.59E+13,Earth-Simulator,1.96E+11
2003-06-01,3.70E+14,3.59E+13,Earth-Simulator,2.41E+11
2003-11-01,5.27E+14,3.59E+13,Earth-Simulator,3.79E+11
2004-06-01,8.12E+14,3.59E+13,Earth-Simulator,6.07E+11
2004-11-01,1.13E+15,7.07E+13,BlueGene/L beta-System,8.40E+11
2005-06-01,1.69E+15,1.37E+14,BlueGene/L,1.17E+12
2005-11-01,2.30E+15,2.81E+14,BlueGene/L,1.65E+12
2006-06-01,2.79E+15,2.81E+14,BlueGene/L,2.03E+12
2006-11-01,3.53E+15,2.81E+14,BlueGene/L,2.74E+12
2007-06-01,4.95E+15,2.81E+14,BlueGene/L,4.03E+12
2007-11-01,6.98E+15,4.78E+14,BlueGene/L,5.94E+12
2008-06-01,1.22E+16,1.03E+15,Roadrunner,9.00E+12
2008-11-01,1.74E+16,1.11E+15,Roadrunner,1.26E+13
2009-06-01,2.26E+16,1.11E+15,Roadrunner,1.71E+13
2009-11-01,2.80E+16,1.76E+15,Jaguar,2.01E+13
2010-06-01,3.24E+16,1.76E+15,Jaguar,2.47E+13
2010-11-01,4.38E+16,2.57E+15,Tianhe-1A,3.11E+13
2011-06-01,5.89E+16,8.16E+15,K computer,4.02E+13
2011-11-01,7.41E+16,1.05E+16,K computer,5.09E+13
2012-06-01,1.23E+17,1.63E+16,Sequoia,6.08E+13
2012-11-01,1.62E+17,1.76E+16,Titan,7.64E+13
2013-06-01,2.29E+17,3.39E+16,Titan,9.66E+13
2013-11-01,2.55E+17,3.39E+16,Titan,1.18E+14
2014-06-01,2.79E+17,3.39E+16,Titan,1.34E+14
2014-11-01,3.13E+17,3.39E+16,Titan,1.53E+14
2015-06-01,3.64E+17,3.39E+16,Titan,1.65E+14
2015-11-01,4.23E+17,3.39E+16,Tianhe-2A,2.06E+14
2016-06-01,5.72E+17,9.30E+16,Sunway TaihuLight,2.86E+14
2016-11-01,6.77E+17,9.30E+16,Sunway TaihuLight,3.50E+14
2017-06-01,7.53E+17,9.30E+16,Sunway TaihuLight,4.33E+14
2017-11-01,8.50E+17,9.30E+16,Sunway TaihuLight,5.49E+14
2018-06-01,1.21E+18,1.22E+17,Sunway TaihuLight,7.16E+14
2018-11-01,1.41E+18,1.44E+17,Summit,8.75E+14
2019-06-01,1.56E+18,1.49E+17,Summit,1.02E+15
2019-11-01,1.65E+18,1.49E+17,Summit,1.14E+15
2020-06-01,2.21E+18,4.16E+17,Summit,1.23E+15
2020-11-01,2.43E+18,4.42E+17,Fugaku,1.32E+15
2021-06-01,2.79E+18,4.42E+17,Fugaku,1.51E+15
2021-11-01,3.04E+18,4.42E+17,Fugaku,1.65E+15
