year_count,1000_gpu,top_sum,top_1,top_500
1993.418207,,1.12857E+12,59700000000,420000000
1993.837098,,1.49335E+12,1.24E+11,470000000
1994.417522,,2.31701E+12,1.434E+11,840000000
1994.836413,,2.73224E+12,1.7E+11,1160000000
1995.416838,,3.927E+12,1.7E+11,1960000000
1995.835729,,4.78434E+12,1.7E+11,2490000000
1996.418891,,5.89224E+12,2.204E+11,3310000000
1996.837782,,7.98124E+12,3.682E+11,4620000000
1997.418207,,1.28442E+13,1.068E+12,7670000000
1997.837098,,1.68981E+13,1.338E+12,9510000000
1998.417522,,2.26251E+13,1.338E+12,13390000000
1998.836413,,2.93676E+13,1.338E+12,17120000000
1999.416838,,3.90626E+13,2.121E+12,24700000000
1999.778234,1.27E+09,,,
1999.835729,,5.09386E+13,2.379E+12,33090000000
2000.418891,,6.42301E+13,2.379E+12,43820000000
2000.492813,2.88E+09,,,
2000.621492,1.04E+09,,,
2000.837782,,8.80825E+13,4.938E+12,55300000000
2000.930869,1.18E+09,,,
2001.138946,2.85E+09,,,
2001.160849,4.28E+09,,,
2001.1718,3.11E+09,,,
2001.1718,3.58E+09,,,
2001.418207,,1.08277E+14,7.226E+12,67780000000
2001.620808,7.37E+09,,,
2001.620808,3.02E+09,,,
2001.664613,7.25E+09,,,
2001.752225,7.27E+09,,,
2001.752225,1.26E+10,,,
2001.752225,3.36E+09,,,
2001.837098,,1.34978E+14,7.226E+12,94300000000
2002.097194,1.36E+10,,,
2002.102669,8.16E+09,,,
2002.102669,9.98E+09,,,
2002.102669,1.52E+10,,,
2002.102669,1.36E+10,,,
2002.102669,3.41E+09,,,
2002.102669,4.21E+09,,,
2002.102669,5.14E+09,,,
2002.417522,,2.22264E+14,3.586E+13,1.343E+11
2002.499658,5.30E+10,,,
2002.499658,5.99E+10,,,
2002.499658,4.98E+10,,,
2002.546201,4.63E+10,,,
2002.75154,9.00E+10,,,
2002.836413,,2.91814E+14,3.586E+13,1.958E+11
2003.164956,5.12E+10,,,
2003.164956,6.35E+10,,,
2003.178645,2.78E+10,,,
2003.178645,2.97E+10,,,
2003.178645,3.63E+10,,,
2003.178645,4.85E+10,,,
2003.208761,4.47E+10,,,
2003.249829,5.36E+10,,,
2003.331964,4.10E+10,,,
2003.362081,4.53E+10,,,
2003.362081,4.35E+10,,,
2003.416838,,3.70049E+14,3.586E+13,2.414E+11
2003.750856,6.70E+10,,,
2003.750856,5.51E+10,,,
2003.750856,6.35E+10,,,
2003.750856,8.38E+10,,,
2003.750856,8.40E+10,,,
2003.756331,4.18E+10,,,
2003.756331,4.75E+10,,,
2003.811088,4.04E+10,,,
2003.811088,5.30E+10,,,
2003.835729,,5.2674E+14,3.586E+13,3.786E+11
2004.1013,5.96E+10,,,
2004.334018,1.21E+11,,,
2004.388775,1.77E+11,,,
2004.418891,,8.12313E+14,3.586E+13,6.069E+11
2004.438056,1.20E+11,,,
2004.569473,1.18E+11,,,
2004.616016,1.74E+11,,,
2004.616016,1.03E+11,,,
2004.670773,1.62E+11,,,
2004.670773,1.61E+11,,,
2004.670773,1.82E+11,,,
2004.837782,,1.12883E+15,7.072E+13,8.4002E+11
2004.919918,1.42E+11,,,
2004.919918,1.82E+11,,,
2004.919918,1.99E+11,,,
2004.919918,1.90E+11,,,
2004.974675,1.34E+11,,,
2005.418207,,1.69489E+15,1.368E+14,1.166E+12
2005.475702,2.02E+11,,,
2005.612594,2.08E+11,,,
2005.752225,1.60E+11,,,
2005.752225,1.56E+11,,,
2005.752225,1.56E+11,,,
2005.752225,2.00E+11,,,
2005.752225,2.49E+11,,,
2005.752225,2.64E+11,,,
2005.768652,1.85E+11,,,
2005.837098,,2.29934E+15,2.806E+14,1.6457E+12
2006.004107,7.08E+11,,,
2006.004107,9.10E+11,,,
2006.179329,3.76E+11,,,
2006.187543,4.06E+11,,,
2006.332649,6.27E+11,,,
2006.332649,4.20E+11,,,
2006.370979,2.37E+11,,,
2006.417522,,2.78947E+15,2.806E+14,2.026E+12
2006.510609,5.13E+11,,,
2006.59822,5.31E+11,,,
2006.75154,9.42E+11,,,
2006.795346,6.29E+11,,,
2006.795346,5.45E+11,,,
2006.836413,,3.52787E+15,2.806E+14,2.7369E+12
2006.855578,6.53E+11,,,
2007.080082,1.20E+12,,,
2007.293634,5.41E+11,,,
2007.293634,5.41E+11,,,
2007.293634,2.59E+11,,,
2007.293634,1.14E+12,,,
2007.334702,5.43E+11,,,
2007.367556,9.22E+11,,,
2007.416838,,4.9506E+15,2.806E+14,4.031E+12
2007.572895,7.44E+11,,,
2007.827515,1.12E+12,,,
2007.835729,,6.97759E+15,4.782E+14,5.93733E+12
2007.88501,1.43E+12,,,
2007.88501,1.85E+12,,,
2007.945243,1.39E+12,,,
2008.071184,1.71E+12,,,
2008.142368,1.41E+12,,,
2008.213552,1.55E+12,,,
2008.240931,1.75E+12,,,
2008.418891,,4.9506E+15,2.806E+14,4.031E+12
2008.459959,1.16E+12,,,
2008.459959,1.31E+12,,,
2008.4846,3.24E+12,,,
2008.4846,4.05E+12,,,
2008.555784,2.54E+12,,,
2008.616016,3.52E+12,,,
2008.695414,5.78E+12,,,
2008.695414,5.01E+12,,,
2008.711841,2.17E+12,,,
2008.750171,1.31E+12,,,
2008.807666,4.96E+12,,,
2008.837782,,1.73735E+16,1.105E+15,1.25935E+13
2009.023956,2.89E+12,,,
2009.043121,3.28E+12,,,
2009.174538,2.86E+12,,,
2009.253936,4.41E+12,,,
2009.32512,7.11E+12,,,
2009.418207,,2.26408E+16,1.105E+15,1.711E+13
2009.437372,9.15E+12,,,
2009.730322,5.50E+12,,,
2009.785079,6.90E+12,,,
2009.798768,5.36E+12,,,
2009.837098,,2.80065E+16,1.759E+15,2.007E+13
2010.039699,4.32E+12,,,
2010.234086,2.23E+12,,,
2010.234086,2.59E+12,,,
2010.414784,2.54E+12,,,
2010.417522,,3.24347E+16,1.759E+15,2.467E+13
2010.529774,4.38E+12,,,
2010.529774,5.04E+12,,,
2010.702259,5.15E+12,,,
2010.778919,5.65E+12,,,
2010.78987,5.17E+12,,,
2010.806297,6.99E+12,,,
2010.806297,6.89E+12,,,
2010.836413,,4.37869E+16,2.566E+15,3.11244E+13
2010.934976,3.34E+12,,,
2010.954141,6.07E+12,,,
2011.069131,5.69E+12,,,
